㓦划	bo hua
仙乐	xian yue
仙露明珠	xian lu ming zhu
仟伯	qian bo
仡仡	yi yi
仡佬族	qi lao zu
仡栗	yi li
代偿	dai chang
代执行	dai zhi xing
代拆代行	dai chai dai xing
代马依北风	dai ma yi bo feng
令出必行	ling chu bi xing
令出惟行	ling chu wei xing
令姊	ling jie
令行如流水	ling xing ru liu shui
令行禁止	ling xing jin zhi
以升量石	yi sheng liang dan
以字行	yi zi xing
以己之心度人之心	yi ji zhi xin duo ren zhi xin
以己度人	yi ji duo ren
以微知著	yi wei zhi zhu
以指挠沸	yi zhi nao fei
以汤止沸	yi tang zhi fei
以汤沃沸	yi tang wo fei
以牙还牙	yi ya huan ya
以珠弹雀	yi zhu tan que
以眼还眼	yi yan huan yan
以莛撞钟	yi ting zhuang zhong
以血偿血	yi xue chang xue
以规为瑱	yi gui wei tian
以还	yi huan
以邻为壑	yi lin wei he
以邻为壑	yi lin wei huo
仰事俯畜	yang shi fu xu
仰天长叹	yang tian chang tan
仰屋著书	yang wu zhu shu
仰给	yang ji
仰给於人	yang ji yu ren
仰角	yang jiao
仲长统	zhong chang tong
仳倠	pi hui
仳离	pi li
仵作行人	wu zuo hang ren
任何地方	ren he di fang
任嚣	ren xiao
任重致远	ren zhong zhi yuan
任重道远	ren zhong dao yuan
仿佛	fang fu
仿行	fang xing
企业行销	qi ye xing xiao
伈伈睍睍	xin xin xian xian
伊丽莎白一世	yi li sha bai yi shi
伊丽莎白一世	yi li sha bo yi shi
伊丽莎白时代	yi li sha bai shi dai
伊丽莎白时代	yi li sha bo shi dai
伍伯	wu bo
伍员	wu yun
伍员乘潮	wu yun cheng chao
伍员抉目	wu yun jue mu
伍员鞭尸	wu yun bian shi
伍长	wu zhang
伎俩	ji liang
伏伺	fu si
伏地	fu di
伏地扣子	fu di kou zi
伏地挺身	fu di ting shen
伏地圣人	fu di sheng ren
伏藏	fu cang
伏虎降龙	fu hu xiang long
伏行	fu xing
伐子都	fa zi du
休屠	xiu chu
休屠	xiu tu
休憩	xiu qi
休閒娱乐	xiu xian yu le
伯仲	bo zhong
伯仲之间	bo zhong zhi jian
伯仲叔季	bo zhong shu ji
伯伯	bo bo
伯余	bo yu
伯俞泣杖	bo yu qi zhang
伯兄	bo xiong
伯克	bo ke
伯克来	bo ke lai
伯克制度	bo ke zhi du
伯公	bo gong
伯兮	bo xi
伯利恒	bo li heng
伯力	bo li
伯力协定	bo li xie ding
伯劳	bo lao
伯劳飞燕	bo lao fei yan
伯劳鸟	bo lao niao
伯叔	bo shu
伯吉阿斯法	bo ji a si fa
伯喈倒屣	bo jie dao xi
伯嚭	bo pi
伯图	ba tu
伯壎仲篪	bo xun zhong chi
伯多禄	bo duo lu
伯夷	bo yi
伯夷叔齐	bo yi shu qi
伯夷父	bo yi fu
伯姊	bo jie
伯姊	bo zi
伯姬	bo ji
伯娘	bo niang
伯婆	bo po
伯子	bai zi
伯子牙	bo zi ya
伯封	bo feng
伯希和	bo xi he
伯强	bo qiang
伯彝	bo yi
伯恩	bo en
伯恩斯坦	bo en si tan
伯虑国	bo lv guo
伯斯	bo si
伯明罕	bo ming han
伯明翰	bo ming han
伯服	bo fu
伯林顿	bo lin dun
伯格	bo ge
伯业	ba ye
伯乐	bo le
伯乐一顾	bo le yi gu
伯歌季舞	bo ge ji wu
伯母	bo mu
伯氏	bo shi
伯济国	bo ji guo
伯爵	bo jue
伯父	bo fu
伯尔发斯特	bo er fa si te
伯牙	bo ya
伯牙绝絃	bo ya jue xian
伯牙鼓琴	bo ya gu qin
伯益	bo yi
伯祖	bo zu
伯祖母	bo zu mu
伯禹	bo yu
伯纳	bo na
伯罗	bo luo
伯罗奔尼撒半岛	bo luo ben ni sa ban dao
伯罗奔尼撒同盟	bo luo ben ni sa tong meng
伯罗奔尼撒战争	bo luo ben ni sa zhan zheng
伯舅	bo jiu
伯舒拉岭	bo shu la ling
伯兰	bo lan
伯赵氏	bo zhao shi
伯道之忧	bo dao zhi you
伯道无儿	bo dao wu er
伯远帖	bo yuan tie
伯邑考	bo yi kao
伯陵	bo ling
伯阳	bo yang
伯雍种玉	bo yong zhong yu
伯雷	bo lei
伯灵	bo ling
伯鱼	bo yu
估价行	gu jia hang
伴宿	ban su
伶俐乖觉	ling li guai jue
伸剖	shen pou
伸长	shen chang
伺便	si bian
伺察	si cha
伺探	si tan
伺晨鸟	si chen niao
服务器	si fu qi
伺机	si ji
伺机而动	si ji er dong
伺隙	si xi
似乎	si hu
似地	shi de
似懂非懂	si dong fei dong
似是	si shi
似是而非	si shi er fei
似曾相识	si ceng xiang shi
似有	si you
似水	si shui
似水如鱼	si shui ru yu
似漆如胶	si qi ru jiao
似火	si huo
似玉如花	si yu ru hua
似的	si de
似箭如梭	si jian ru suo
似续	si xu
似醉如痴	si zui ru chi
伽伽	qie qie
伽利略	jia li lve
伽南香	qie nan xiang
伽玛射线	jia ma she xian
伽蓝	qie lan
伽蓝鸟	qie lan niao
伽马	jia ma
佁然	ai ran
佃作	dian zuo
佃契	dian qi
佃户	dian hu
佃权	dian quan
佃猎	tian lie
佃租	dian zu
佃租制度	dian zu zhi du
佃农	dian nong
但求塞责	dan qiu se ze
但知行好事	dan zhi xing hao shi
但管地无皮	dan guan di wu pi
伫眙	zhu chi
佉沙	qu sha
位尊势重	wei zun shi zhong
低凹	di ao
低利率	di li lv
低地	di di
低地国	di di guo
低徊	di hui
低徊不已	di hui bu yi
低血压	di xie ya
低血压	di xue ya
低血糖	di xie tang
低血糖	di xue tang
低调	di diao
低频率	di pin lv
住宿	zhu su
住宿费	zhu su fei
住扎	zhu zha
佔便宜	zhan pian yi
佔地	zhan di
佔地面积	zhan di mian ji
占有率	zhan you lv
佔用率	zhan yong lv
何似	he si
何地	he di
何曾	he ceng
何乐不为	he le bu wei
何炅	he jiong
何焯	he zhuo
何逊	he xun
佗佗	tuo tuo
余余	xu xu
余吾镇	xu wu zhen
余车	yu che
余车	yu ju
佚乐	yi le
佛剎	fo cha
佛图澄	fo tu cheng
佛地	fo di
佛戾	fo li
佛手柑	fo shou gan
佛教音乐	fo jiao yin yue
佛肸	bi xi
佛蒙特州	fo meng te zhou
佛貍	bi li
佛头着粪	fo tou zhuo fen
作倒了行市	zuo dao le hang shi
作业簿	zuo ye bu
作育菁莪	zuo yu jing e
作诨	zuo hun
作么生	zuo mo sheng
佝偻	kou lou
佝偻病	kou lou bing
你哦	ni o
你快乐	ni kuai le
你长我短	ni chang wo duan
佣钿	yong dian
佩弦	pei xian
佩觿	pei xi
佩韦佩弦	pei wei pei xian
佳人命薄	jia ren ming bo
佳人薄命	jia ren bo ming
佳什	jia shi
佳肴	jia yao
佳肴	jia yao
佷用	hen yong
佹佹	gui gui
佹僪	gui jue
佹得佹失	gui de gui shi
佹诗	gui shi
佹辩	gui bian
佻薄	tiao bo
佻达	tiao ta
使劲	shi jin
使用率	shi yong lv
使长	shi zhang
侁侁	shen shen
来劲	lai jin
来参加	lai can jia
来日方长	lai ri fang chang
来日正长	lai ri zheng chang
来牟	lai mou
来龙去脉	lai long qu mai
来龙去脉	lai long qu mo
例行	li xing
例行公事	li xing gong shi
侍从	shi cong
侍从	shi zong
侍从长	shi cong zhang
侗剧	dong ju
侗族	dong zu
侗语	dong yu
供给	gong gei
供给	gong ji
供给制	gong ji zhi
供需失调	gong xu shi tiao
依栖	yi qi
依法行政	yi fa xing zheng
依计行事	yi ji xing shi
依还	yi huan
依阿两可	yi e liang ke
依阿取容	yi e qu rong
侯伯	hou bo
侯门深似海	hou men shen si hai
侲子	zhen zi
侵削	qin xue
侵权行为	qin quan xing wei
侵牟	qin mou
侷促一隅	ju cu yi yu
便了	bian liao
便佞	pian ning
便便	bian bian
便便	pian pian
便娟	pian juan
便嬖	pian bi
便嬛	pian xuan
便安	pian an
便宜	bian yi
便宜	pian yi
便宜不过当家	pian yi bu guo dang jia
便宜主义	pian yi zhu yi
便宜施行	bian yi shi xing
便宜没好货	pian yi mei hao huo
便宜无好货	pian yi wu hao huo
便宜行事	bian yi xing shi
便宜话	pian yi hua
便宜货	pian yi huo
便把令来行	bian ba ling lai xing
便携	bian xie
便携式	bian xie shi
便液	bian ye
便溺	bian niao
便益不失当家	pian yi bu shi dang jia
便祕	bian bi
便祕	bian mi
便血	bian xie
便血	bian xue
便言	pian yan
便辟	pian pi
系风捕景	xi feng bu ying
促膝长谈	cu xi chang tan
俇俇	wang wang
俇攘	wang rang
俊乂	jun yi
俊鹘	jun hu
俏模样	qiao mu yang
伣伣	xian xian
伣天	qian tian
俗乐	su yue
俘掳	fu lu
俘馘	fu guo
俛仰	fu yang
俛首	fu shou
俛首帖耳	fu shou tie er
俛首听命	fu shou ting ming
俛首自招	fu shou zi zhao
保俶塔	bao chu ta
保留地	bao liu di
保藏	bao cang
保重	bao zhong
保险给付	bao xian ji fu
保险赔偿	bao xian pei chang
俞儿	shu er
俞大猷	yu da you
俟俟	si si
俟候	si hou
俟命	si ming
俟时	si shi
俟河之清	si he zhi qing
侠侍	jia shi
侠拜	jia bai
信人调	xin ren tiao
信宿	xin su
信差	xin chai
信息披露	xin xi pi lu
信乐团	xin yue tuan
信步而行	xin bu er xing
信号弹	xin hao dan
信行	xin xing
信马游缰	xin ma you jiang
修正液	xiu zheng ye
修正液	xiu zheng yi
修濬	xiu jun
修省	xiu xing
修禊	xiu xi
修葺	xiu qi
修行	xiu xing
修行在个人	xiu xing zai ge ren
修谨以俟	xiu jin yi si
修长	xiu chang
俯瞰	fu kan
俯角	fu jiao
俱乐部	ju le bu
俳佪	pai huai
俶扰	chu rao
俶尔	chu er
俶装	chu zhuang
俸给	feng ji
俺咱	an za
俾乂	bi yi
俾倪	bi ni
俾斯麦	bi si mai
俾昼作夜	bi zhou zuo ye
俾尔遐福	bi er xia fu
倅车	cui che
倅车	cui ju
俩人	lia ren
仓卒	cang cu
个人行为	ge ren xing wei
倍日并行	bei ri bing xing
倍率	bei lv
倍觉	bei jue
倍道兼行	bei dao jian xing
倏地	shu di
倒嚼	dao jiao
倒地	dao di
倒地葫芦	dao di hu lu
倒打一耙	dao da yi pa
倒抹	dao mo
倒持泰阿	dao chi tai e
倒旗鎗	dao qi qiang
倒景	dao ying
倒熟	dao shu
倒熟话	dao shu hua
倒笏躬身	dao hu gong shen
倒舄抠衣	dao xi kou yi
倒行逆施	dao xing ni shi
倒裳	dao chang
倒裳索领	dao chang suo ling
倒褪	dao tun
倔强	jue jiang
倘佯	chang yang
候风地动仪	hou feng di dong yi
倚势挟权	yi shi xie quan
倚薄	yi bo
倚重	yi zhong
倜傥	ti tang
倜傥不羁	ti tang bu ji
倜傥不羣	ti tang bu qun
借交报仇	jie jiao bao chou
借客报仇	jie ke bao chou
借宿	jie su
借尸还魂	jie shi huan hun
借水行舟	jie shui xing zhou
借调	jie diao
借重	jie zhong
倥侗	kong tong
倨傲鲜腆	ju ao xian tian
倨句	ju gou
倭迟	wei chi
值宿	zhi su
偃仆	yan pu
假似	jia si
假执行	jia zhi xing
假乐	jia le
偈偈	jie jie
偈子	ji zi
偈言	ji yan
偈颂	ji song
伟懋	wei mao
偌多	ruo duo
偌大	ruo da
偌时	ruo shi
偎干就湿	wei gan jiu shi
偏向虎山行	pian xiang hu shan xing
偏差行为	pian cha xing wei
偏栖	pian qi
偏畸	pian ji
偏裨	pian pi
偏角	pian jiao
偏重	pian zhong
偏阿	pian e
偕行	xie xing
做一天和尚撞一天钟	zuo yi tian he shang zhuang yi tian zhong
做一行怨一行	zuo yi hang yuan yi hang
做不了	zuo bu liao
做什么	zuo shen me
做得了	zuo de le
做得了	zuo de liao
做我不着	zuo wo bu zhao
做朝	zuo zhao
做胚	zuo pei
停泊	ting bo
停潦	ting lao
停留长智	ting liu zhang zhi
停眠整宿	ting mian zheng su
停睇	ting di
偢问	chou wen
偢采	chou cai
健康快乐	jian kang kuai le
健康成长	jian kang cheng zhang
健行	jian xing
偪仂	bi le
偪阳	fu yang
偰列箎	xie lie chi
偲偲	si si
侧撞防护系统	ce zhuang fang hu xi tong
侧柏	ce bo
侧重	ce zhong
侧重点	ce zhong dian
侦伺	zhen si
侦缉	zhen ji
侦缉	zhen qi
侦缉队	zhen ji dui
侦缉队	zhen qi dui
侦骑	zhen ji
偷偷抹抹	tou tou mo mo
偷弹珠泪	tou tan zhu lei
偷着乐	tou zhe le
偷着浮生半日閒	tou zhao fu sheng ban ri xian
偷薄	tou bo
偷鸡不着蚀把米	tou ji bu zhao shi ba mi
偷馋抹嘴	tou chan mo zui
傀伟	gui wei
傀儡	kui lei
傀儡家庭	kui lei jia ting
傀儡戏	kui lei xi
傀儡政权	kui lei zheng quan
傀然	gui ran
傅说	fu yue
傅说版筑	fu yue ban zhu
傍人	pang ren
傍偟	pang huang
傍妻	pang qi
傍尊	pang zun
傍徨	pang huang
傍排	pang pai
傍晌	bang shang
傍牌	pang pai
傍生	pang sheng
傍系	pang xi
傍若无人	pang ruo wu ren
傍薄	pang bo
傍观	pang guan
傍观必审	pang guan bi shen
傍观者清	pang guan zhe qing
傍通	pang tong
傍边	pang bian
傍门	pang men
傍门外道	pang men wai dao
杰克逊	jie ke sun
杰弗逊	jie fu sun
傔卒	qian zu
傔从	qian cong
傔从	qian zong
伧俗	cang su
伧儜	cang ning
伧夫俗人	cang fu su ren
伧父	cang fu
傞傞	suo suo
催泪弹	cui lei dan
催熟	cui shu
佣给	yong ji
传乘	zhuan cheng
传乘	zhuan sheng
传柑	chuan gan
传檄	chuan xi
传檄而定	chuan xi er ding
传舍	zhuan she
传著	chuan zhu
传记	zhuan ji
传记文学	zhuan ji wen xue
传赞	zhuan zan
传踏	zhuan ta
传车	zhuan che
传车	zhuan ju
传输速率	chuan shu su lv
传重	chuan zhong
传驿	zhuan yi
伛伛	yu yu
伛偻	yu lou
伛兜	yu dou
伛拊	yu fu
债务重组	zhai wu chong zu
债多了不愁	zai duo le bu chou
伤亡枕借	shang wang zhen jie
伤嗟	shang jie
傻劲	sha jin
傻呵呵	sha he he
傻乐	sha le
傻角	sha jiao
倾圮	qing pi
倾家	keng jia
倾家	qing jia
倾斜角	qing xie jiao
倾泄	qing xie
倾筐倒庋	qing kuang dao ji
倾复重器	qing fu zhong qi
倾角	qing jiao
倾轧	qing ya
倾陷	qing xian
偻人	lou ren
偻儸	lou luo
偻指	lou zhi
偻行	lou xing
仅供参考	jin gong can kao
佥事	qian shi
佥同	qian tong
佥押	qian ya
佥望	qian wang
佥谋	qian mou
佥议	qian yi
僊僊	xian xian
仆僮成羣	pu tong cheng qun
仆射	pu ye
仆射姑	pu ye gu
仆从	pu cong
仆从	pu zong
僗什子	lao shi zi
僝僽	chan zhou
侥幸	jiao xing
侥傒	jiao xi
侥幸	jiao xing
侥竞	jiao jing
僧伽	seng qie
僧伽蓝	seng qie lan
僧行	seng hang
僬侥	jiao yao
僭上偪下	jian shang bi xia
僭坐	jian zuo
僭妄	jian wang
僭盗	jian dao
僭称	jian cheng
僭窃	jian qie
僭号	jian hao
僭越	jian yue
僮仆	tong pu
僮僮	tong tong
僮婢	tong bi
僮御	tong yu
僮手指千	tong shou zhi qian
僮族	zhuang zu
僵仆	jiang pu
价格便宜	jia ge pian yi
僻地	pi di
仪从	yi cong
仪从	yi zong
儃佪	chan hui
儃儃	tan tan
儇子	xuan zi
儇薄	xuan bo
俭薄	jian bo
儋石	dan dan
儋石之畜	dan dan zhi xu
侪伦	chai lun
侪居	chai ju
侪辈	chai bei
尽落尾	jin la wei
偿付	chang fu
偿债	chang zhai
偿命	chang ming
偿得夙愿	chang de su yuan
偿补	chang bu
偿责	chang ze
偿责	chang zhai
偿还	chang huan
偿愿	chang yuan
儤宿	bao su
优地槽	you di cao
优婆塞	you po se
优旃	you zhan
优乐	you le
优洽	you qia
优洽	you xia
优角	you jiao
优长	you chang
儭钱	chen qian
儱侗	long tong
储备银行	chu bei yin hang
储蓄银行	chu xu yin hang
储藏	chu cang
儵怳	shu huang
傥来	tang lai
傥来之物	tang lai zhi wu
傥傥	tang tang
傥然	tang ran
傥若	tang ruo
傥荡	tang dang
兀的	wu di
兀的不	wu di bu
兀臬	wu nie
兀谁	wu shei
允洽	yun qia
允洽	yun xia
元恶大憝	yuan e da dui
元朝	yuan chao
元祕史	yuan mi shi
兄弟阋墙	xiong di xi qiang
兄长	xiong zhang
充内行	chong nei hang
充塞	chong se
充血	chong xie
充血	chong xue
充行家	chong hang jia
充诎	chong qu
兇相毕露	xiong xiang bi lu
兇终隙末	xiong zhong xi mo
先吾着鞭	xian wu zhuo bian
先天性畸形	xian tian xing ji xing
先天缺陷	xian tian que xian
先怎么栽	xian zen mo zai
先忧后乐	xian you hou le
先盛后衰	xian sheng hou shuai
先知先觉	xian zhi xian jue
先行	xian xing
先行官	xian xing guan
先行后闻	xian xing hou wen
先行者	xian xing zhe
先觉	xian jue
先觉先知	xian jue xian zhi
先降	xian jiang
先降	xian xiang
先零	xian lian
先零	xian ling
光了了	guang liao liao
光大银行	guang da yin hang
光宅	guang zhe
光怪陆离	guang guai lu li
光挞挞	guang ta ta
光荣榜	guang rong bang
光纤	guang xian
光纤维	guang xian wei
光纤通信系统	guang xian tong xin xi tong
光纤通讯	guang xian tong xun
光纤电缆	guang xian dian lan
光纤飞弹	guang xian fei dan
光膀子	guang bang zi
光行差	guang xing cha
光觉	guang jue
光轴	guang zhou
光辣挞	guang la ta
光阴似水	guang yin si shui
光阴似箭	guang yin si jian
光阴如隙驹	guang yin ru xi ju
光阴弹指	guang yin tan zhi
光陆离	guang lu li
克什克腾	ke shi ke teng
克来汀症	ke lai ting zheng
克敦孝行	ke dun xiao xing
克罗地亚	ke luo di ya
兌换率	dui huan lv
免不了	mian bu liao
免参	mian can
免疫血清	mian yi xie qing
免疫血清	mian yi xue qing
免黜	mian chu
儿女情长	er nv qing chang
儿女英雄传	er nv ying xiong zhuan
儿宽	ni kuan
儿童乐园	er tong le yuan
兔毛大伯	tu mao da bo
兔罝	tu ju
兔角龟毛	tu jiao gui mao
兔起凫举	tu qi fu ju
兔起鹘落	tu qi hu luo
兔跃	tu yue
兖州八伯	yan zhou ba bo
兜剿	dou jiao
兜底	dou de
兜底	dou di
兜率天	dou shuai tian
兜率天宫	dou shuai tian gong
兜率宫	dou shuai gong
入地	ru di
入地无门	ru di wu men
入射角	ru she jiao
入朝	ru chao
入觐	ru jin
内传	nei zhuan
内出血	nei chu xie
内出血	nei chu xue
内参	nei can
内地	nei di
内地稅	nei di shui
内地杂居	nei di za ju
内填珐瑯器	nei tian fa lang qi
内姊	nei jie
内帑	nei tang
内朝	nei chao
内省	nei sheng
内省	nei xing
内省不疚	nei xing bu jiu
内省法	nei xing fa
内蕴	nei yun
内行人	nei hang ren
内行看门道	nei hang kan men dao
内角	nei jiao
内角球	nei jiao qiu
内调	nei diao
内错角	nei cuo jiao
内长城	nei chang cheng
内陆	nei lu
内陆国	nei lu guo
内陆海	nei lu hai
内陆湖	nei lu hu
全国各地	quan guo ge di
全彩干式印表机	quan cai gan shi yin biao ji
全武行	quan wu hang
全盛	quan sheng
全血输血	quan xie shu xie
全血输血	quan xue shu xue
全角	quan jiao
全军覆没	quan jun fu mo
全长	quan chang
全面推行	quan mian tui xing
两丱	liang guan
两个肩膀扛张嘴	liang ge jian bang kang zhang zui
两地	liang di
两性生殖	liang xing sheng zhi
两日三朝	liang ri san zhao
两栖	liang qi
两栖作战	liang qi zuo zhan
两栖演员	liang qi yan yuan
两栖部队	liang qi bu dui
两栖类动物	liang qi lei dong wu
两榜	liang bang
两次三番	liang ci san fan
两腋生风	liang ye sheng feng
两行	liang hang
两豆塞耳	liang dou se er
两都	liang du
两都赋	liang du fu
两重人格	liang chong ren ge
两重亲	liang chong qin
两面转圜	liang mian zhuan huan
两头不着	liang tou bu zhao
八伯	ba bo
八十四调	ba shi si diao
八垓	ba gai
八埏	ba yan
八大人觉	ba da ren jue
八字都没一撇	ba zi dou mei yi pie
八幡	ba fan
八旗都统	ba qi du tong
八棍子撂不着	ba gun zi liao bu zhao
八步周行	ba bu zhou xing
八竿子打不着	ba gan zi da bu zhao
八蜡	ba zha
八行	ba hang
八行书	ba hang shu
八角	ba jiao
八角枫科	ba jiao feng ke
八角茴香	ba jiao hui xiang
八角莲	ba jiao lian
八角金盘	ba jiao jin pan
八角鼓	ba jiao gu
八辟	ba bi
八都	ba du
八都儿	ba du er
八都鲁	ba du lu
公了	gong liao
公仔	gong zai
公伯	gong bo
公共给水	gong gong ji shui
公共行政	gong gong xing zheng
公共设施保留地	gong gong she shi bao liu di
公共设施用地	gong gong she shi yong di
公冶长	gong ye chang
公勺	gong shuo
公司行号	gong si hang hao
公司重整	gong si chong zheng
公合	gong ge
公地	gong di
公地放领	gong di fang ling
公报私仇	gong bao si chou
公安局长	gong an ju zhang
公差	gong cha
公差	gong chai
公差费	gong chai fei
公帑	gong tang
公廨	gong xie
公弦	gong xian
公文旅行	gong wen lv xing
公有土地	gong you tu di
公朝	gong chao
公正不阿	gong zheng bu e
公母俩	gong mu lia
公用事业费率	gong yong shi ye fei lv
公用费率	gong yong fei lv
公畜	gong chu
公石	gong dan
公示行为	gong shi xing wei
公立学校	gong li xue xiao
公筷母匙	gong kuai mu chi
公羊传	gong yang zhuan
公众参与	gong zhong can yu
公车	gong che
公车	gong ju
公道伯	gong dao bo
公镦	gong dun
公钥	gong yao
公门之中好修行	gong men zhi zhong hao xiu xing
